,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,loudness,duration_ms,mode
count,2110286.0,2110286.0,2110286.0,2110286.0,2110286.0,2110286.0,2110286.0,2110286.0,2110286.0,2110286.0,2110286.0
mean,0.6759184168875688,0.6488014899220769,0.5462540890429071,0.2748514707306261,0.018555202365380163,0.15251204753818198,0.08808371769695929,122.10113462440636,-6.772458232201702,194312.21453537577,0.5364533527682978
std,0.144046712864554,0.16891450017118237,0.23115338977495026,0.25092969676349464,0.08547461232331016,0.09660971366391995,0.07713979222500648,27.819251385475518,3.874868457427332,49855.6937182014,0.4986695006812234
min,0.0657,2.01e-05,1e-05,3.45e-06,0.0,0.013804280976397,0.0216636396360263,36.648,-54.341,16320.0,0.0
25%,0.58,0.552,0.37,0.0667,0.0,0.0917584252395406,0.0376810669676884,100.019,-7.83,162637.0,0.0
50%,0.7,0.668,0.548,0.191,1.339999102200802e-06,0.1151128071005045,0.0564748469279789,119.965,-6.064,186191.0,1.0
75%,0.78,0.767,0.733,0.437,0.0001009948998434,0.1856493468866293,0.1061601958283906,140.021,-4.723,218701.0,1.0
max,0.988,0.998,0.992,0.996,0.6906440503418267,0.6846108495376588,0.6714126884139392,236.089,3.233,1296000.0,1.0
